01,https://www.sciencedirect.com/science/article/pii/S2095254614000647
02,https://journals.lww.com/nsca-jscr/fulltext/2014/02000/physiological_characteristics_of_international.3.aspx
03.https://journals.lww.com/nsca-jscr/fulltext/2012/10000/Heart_Rate_Monitoring_in_Soccer___Interest_and.37.aspxEsta
04,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3778701/
05,https://yoursoccerhome.com/the-history-of-soccer-from-origin-to-modern-day/
06,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0224150
07,https://www.frontiersin.org/articles/10.3389/fpsyg.2019.01554/full
08,https://www.sciencedirect.com/science/article/pii/S2352711020303253
09,https://www.tandfonline.com/doi/full/10.1080/14660970.2019.1680489
10,https://soccerhistoryusa.org/asha/culture.html
