01,https://nyaspubs.onlinelibrary.wiley.com/doi/full/10.1111/nyas.12315?casa_token=k21uJrtDecAAAAAA%3Ary95gazlZTUyR28dC3IpOdJUi8k1Wa5nz6IF7Al6Giw2prInZ9tcDuFquNDHeBbo4wEbupHadtd0nEMq,,,,,,,,
02,https://web-p-ebscohost-com.ezproxy.lib.hkmu.edu.hk/ehost/pdfviewer/pdfviewer?vid=0&sid=75b15ba8-ace5-4e77-b446-731bd6fd0b22%40redis,,,,,,,,
03,https://www-tandfonline-com.ezproxy.lib.hkmu.edu.hk/doi/full/10.1080/08856257.2020.1769980,,,,,,,,
04,https://www-sciencedirect-com.ezproxy.lib.hkmu.edu.hk/science/article/pii/S1364661317302243?via%3Dihub,,,,,,,,
05,https://www.proquest.com/docview/2489589874?parentSessionId=4d6r%2BRJjAAzuXAYvV1gsZ4%2Fjsj7RkrhYkbL4qXWKQlQ%3D&pq-origsite=primo&accountid=16720&sourcetype=Scholarly%20Journals,,,,,,,,
06,https://www-tandfonline-com.ezproxy.lib.hkmu.edu.hk/doi/full/10.1080/0020174X.2019.1658627,,,,,,,,
07,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2022.861192/full,,,,,,,,
08,https://web-p-ebscohost-com.ezproxy.lib.hkmu.edu.hk/ehost/pdfviewer/pdfviewer?vid=0&sid=6a165a89-027f-432b-8602-14f39ec7129b%40redis,,,,,,,,
09,https://onlinelibrary-wiley-com.ezproxy.lib.hkmu.edu.hk/doi/full/10.1111/pere.12536,,,,,,,,
10,https://onlinelibrary-wiley-com.ezproxy.lib.hkmu.edu.hk/doi/10.1016/j.adolescence.2010.08.004,,,,,,,,
,,,,,,,,,
