1,https://www.theguardian.com/film/2015/jul/22/rain-is-sizzling-bacon-cars-lions-roaring-art-of-sound-in-movies
2,https://www.nytimes.com/1997/09/28/magazine/technology-makes-us-faster-addicted-to-speed.html?pagewanted=print&src=pm
3,https://www.michaelfuchs.org/re/index.php?story=2010-03-01
3,https://maureenorth.com/1977/06/on-the-set-of-apocalypse-now/
4,https://www.texasmonthly.com/arts-entertainment/they-came-they-sawed/
5,https://www.vanityfair.com/hollywood/2013/03/making-of-pulp-fiction-oral-history
6,http://www.lync hnet.com/lh/lhpremiere.html
7,https://www.theguardian.com/film/2004/mar/27/features.weekend
8,https://variety.com/2020/film/news/movie-theaters-hollywood-pandemic-2020-recap-1234874385/
8,https://affine.ai/the-evolution-of-movies-how-has-it-changed-with-time/
8,https://www.filmmakersacademy.com/blog-how-ai-video-tools-are-changing-the-film-industry-2023/
9,https://www.linkedin.com/pulse/future-film-industry-14-ways-artificial-intelligence-game-kanatt-wzcsc
9,https://www.digitalhistory.uh.edu/topic_display.cfm?tcid=127
9,https://news.northeastern.edu/2023/07/27/barbenheimer-movie-industry/
10,https://research.hktdc.com/en/article/MzExMjc4NDIz
10,https://www.hollywoodreporter.com/movies/movie-features/hong-kong-film-industry-comeback-berlin-1235326295/
