"01,	",https://journals.lww.com/nsca-jscr/fulltext/2009/08000/Seasonal_Variation_in_Physiological_Fitness_of_a.00002.aspx
"02,	",https://www.sciencedirect.com/science/article/pii/S0378873312000500
"03,	",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4675196/
"04,	",https://www.sciencedirect.com/science/article/pii/S0960077920300783
"05,	",https://meridian.allenpress.com/jat/article/55/3/295/433883/Injury-Profile-in-a-Brazilian-First-Division-Youth
"06,	",https://www.sciencedirect.com/science/article/pii/S0167487009001287
"07,	",https://www.sciencedirect.com/science/article/pii/S0377221718300365?casa_token=NLGGdmFSJHsAAAAA:_BIFFtn5OdHRFLu2THlXuCnPiYxodtdKMkDDiUKGT689vG9BjbjFq8xL0M0yJB1mLvL_qouzwbY
"08,	",https://www.sciencedirect.com/science/article/pii/S1469029215300297?casa_token=Sq0AF1IhLPYAAAAA:p_poyyrRemNLjH_YrM3pTWHm6XKw6aP6gV6QBJwBWMrkzv4yj2BVqZ8rJIIQOr0iPao4MKv4Azo
"09,	",https://journals.lww.com/nsca-jscr/fulltext/2021/11000/Contextual_Variables_and_Training_Load_Throughout.29.aspx?context=LatestArticles&casa_token=_7phjkYsyOgAAAAA:vxjQ7HYmkmtX16SwcYbNgznJiuawt9wHPmu0nQ6b8vN-Co7jcft-qu4BlDsbUMas4tVR8NfUK1ssjM2qaqsq4FgqY4Oh
"10,	",https://www.sciencedirect.com/science/article/pii/S0031938418305857?casa_token=vp6WlNuxtxIAAAAA:cELljz9zAv73d_uDxxKaXlPCJISpriprG1E-k11kmJZKAkxuAQAunK-h_VAn2LtRI870wVLHCEI
