"01,https://link.springer.com/content/pdf/10.1023/A:1007596132711.pdf"
"02,https://link.springer.com/content/pdf/10.1023/A:1008097702571.pdf"
"03,https://brill.com/view/journals/artp/3/2/article-p191_4.xml"
"04,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1467-6419.2010.00626.x?casa_token=Mr4PSHtmFigAAAAA%3AeLHnlDWIqsIT-2kfivnCBSfx_T8Ao6uvEngixxS2t3tjqQOGHrmQsrFbgV5LwZvVTH7oya_VlfFF47ag"
"05,https://samizdat.co/shelf/documents/2005/07.15-kael/kael.pdf"
"06,https://journals.sagepub.com/doi/pdf/10.1509/jmkg.74.1.108?casa_token=3RW6DYtfkisAAAAA:vQ3EiAcIESl3FKb23XxG3lGheyGDtc6LLnRWdE6zpkUFsMIg05-Rcx7Krj-uHEYW6Rz1aNW50s57Ag"
"07,https://openaccess.thecvf.com/content_cvpr_2016/papers/Tapaswi_MovieQA_Understanding_Stories_CVPR_2016_paper.pdf"
"08,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1465-7295.2009.00257.x?casa_token=Hq0mFG3VkNsAAAAA:B0epS3OJ4UYfIoP9_SQiKFG508HoUmzYQnXnOGnrR4c2CfRwvS112DUK28qMvHCbAifJ4io3chrdYcus"
"09,https://madoc.bib.uni-mannheim.de/791/1/TR-96-005.pdf"
"10,https://www.tandfonline.com/doi/pdf/10.1080/10810730.2011.585697?casa_token=5imaDy2eObYAAAAA:J5BslzPztiOFqnU6vnrfdRFYUGZ6qfNNCYi7tysP8vJVfn1IYjbwdx3GCMPTw6SkR6tmkC5RbeDhzA"
